Entity,Department,Employees_With_OT,Median_OT,P25_OT,P75_OT,Lowest_OT,Highest_OT,Employees_100K_OT,Pct_100K_OT
SOUTH JERSEY TRANSPORTATION AUTHORITY,GLOUCESTER CTY SENIOR SERVICE,13,2258.25,218.63,2930.63,87.75,11935.18,0,0.0
Unknown,NONE LISTED,5,2253.4,1169.87,2478.35,384.44,2745.1,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,PROJECT SERVICES,1,2252.74,2252.74,2252.74,2252.74,2252.74,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 7A,28,2217.61,1148.98,6584.96,240.0,24850.4,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,BERGEN,40,2208.17,856.8,3697.44,186.3,10832.12,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,UNION,45,2186.48,741.0,3653.32,124.2,9765.41,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,GREAT EGG,31,2141.61,665.09,8052.32,124.2,20883.86,0,0.0
NEW JERSEY ECONOMIC DEVELOPMENT AUTHORITY,BUSINESS SERVICES/PROCUREMENT,1,2130.03,2130.03,2130.03,2130.03,2130.03,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,BARNEGAT,31,2098.6,687.6,3459.22,120.0,22942.99,0,0.0
CHILDREN AND FAMILIES,SOUTHERN REGION,730,2069.85,585.78,6191.06,3.66,101340.51,1,0.14
CHILDREN AND FAMILIES,TRAINING ACADEMY AND ADMINISTRATION,3,2068.76,1272.66,3524.78,476.55,4980.8,0,0.0
TREASURY,PROPERTY MANAGEMENT SERVICES,49,2027.34,1009.86,3911.54,106.12,35222.56,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 18E,14,2016.16,712.38,5130.85,522.0,13648.08,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 8,5,2009.2,783.0,5148.47,783.0,5832.8,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ESSEX,34,2004.13,513.88,3316.11,121.1,10412.18,0,0.0
CHILDREN AND FAMILIES,NORTHERN REGION,702,1996.07,549.59,5852.68,16.84,45494.17,0,0.0
BOARD OF THE PUBLIC UTILITIES,BOARD OF PUBLIC UTILITIES,7,1986.82,1522.02,2483.18,215.64,3084.7,0,0.0
HEALTH AND SENIOR SERVICES,MANAGEMENT & ADMINISTRATION,17,1978.44,1256.85,3098.56,139.55,6937.35,0,0.0
HUMAN SERVICES,WOODBINE ADMINISTRATION,59,1960.76,1168.68,4953.01,47.89,15242.78,0,0.0
TREASURY,DIVISION OF PENSIONS AND BENEFITS,89,1936.32,705.6,4679.02,24.35,30085.11,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,COMMUNITY & GOV'T RELATIONS,3,1915.78,1482.89,4529.3,1050.0,7142.83,0,0.0
HUMAN SERVICES,GREEN BROOK REGIONAL CENTER-NORTHERN REGION,11,1899.96,775.66,3118.02,464.09,7987.94,0,0.0
TRANSPORTATION,PROCUREMENT,6,1896.95,903.07,2622.22,659.04,3742.94,0,0.0
TREASURY,ADMINISTRATION - TRANSPORTATION SERVICES,40,1894.74,1117.54,5474.84,173.32,20034.89,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 13A,23,1888.05,767.16,3365.03,232.9,15788.22,0,0.0
HIGHER EDUCATION STUDENT ASSISTANCE AUTHORITY,Not Provided,22,1855.92,700.62,5354.69,73.86,34349.64,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 11,41,1829.01,720.0,7746.24,124.2,14546.86,0,0.0
TREASURY,OFFICE OF UNCLAIMED PROPERTY,12,1783.88,884.85,3047.31,145.08,4098.39,0,0.0
TRANSPORTATION,CAPITAL PROGRAM MANAGEMENT,42,1773.34,583.17,5315.22,101.43,25858.32,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 15W,32,1763.1,780.98,4272.97,240.0,19141.42,0,0.0
EDUCATION,CENTRAL OFFICE,4,1763.1,261.61,3608.25,146.45,4754.4,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 14A,10,1762.17,783.0,3841.48,730.32,14452.07,0,0.0
NEW JERSEY HOUSING & MORTGAGE FINANCING AGENCY,SINGLE FAMILY PROGRAMS,7,1744.2,1269.38,2999.58,105.1,4095.27,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,TRANSPORTATION,3,1719.18,936.82,2574.37,154.47,3429.56,0,0.0
OFFICE OF INFORMATION TECHNOLOGY,"PRODUCTION SERVICES, SYSTEM COMMAND CENTER, STORAGE MANAGEMENT, PRODUCTION, ENTERPRISE AND SYSTEMS SUPPORT",115,1713.81,336.34,7028.5,14.84,36368.18,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 8A,21,1696.8,735.48,8876.44,480.0,22161.42,0,0.0
MOTOR VEHICLE COMMISSION,CUSTOMER INFORMATION AND ADVOCACY,4,1679.37,963.53,3306.65,179.34,6825.18,0,0.0
LAW AND PUBLIC SAFETY,GAMING ENFORCEMENT,22,1668.94,939.43,4386.98,314.76,9701.6,0,0.0
HUMAN SERVICES,DEVELOPMENTAL DISABILITIES,7,1621.23,610.05,4838.32,230.52,9604.42,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 14C,35,1602.75,767.16,5115.12,360.0,18489.58,0,0.0
NEW JERSEY WATER SUPPLY AUTHORITY,RARITAN,50,1598.97,407.24,5697.55,55.27,20426.53,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 3,8,1584.95,725.91,7228.62,240.0,28492.06,0,0.0
ENVIRONMENTAL PROTECTION,FISH AND WILDLIFE,102,1574.13,883.48,5314.36,2.68,23227.37,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 18W,40,1557.02,728.06,4602.17,120.0,19588.41,0,0.0
LEGISLATURE,OFFICE OF LEGISLATIVE SERVICES - ADMINISTRATION,81,1547.0,668.02,4713.2,19.54,11646.07,0,0.0
CHILDREN AND FAMILIES,CENTRAL REGION,349,1528.81,469.6,4874.49,23.36,91812.38,0,0.0
TREASURY,DIVISION OF TAXATION,157,1441.47,472.62,3733.12,11.72,19606.65,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERNAL AUDIT- AUDIT SECTION,8,1428.74,452.72,6005.05,258.41,7525.9,0,0.0
HUMAN SERVICES,DIVISION OF MEDICAL ASSISTANCE & HEALTH SERVICES,8,1405.38,598.96,5819.6,194.88,8441.08,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE T&R RPTG AND ANALYTICS,2,1348.6,793.94,1903.27,239.28,2457.93,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,RARITAN SOUTH,36,1314.48,565.29,4333.09,120.0,15690.4,0,0.0
HUMAN SERVICES,NEW LISBON ADMINISTRATION,25,1309.54,493.14,12095.67,120.74,60869.85,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,JARC - ENGLISH CREEK,9,1289.63,1109.25,2820.22,290.25,4627.15,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,EAST ORANGE,22,1278.9,431.55,3330.05,124.2,16319.28,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INVENTORY ADMIN,7,1208.16,832.0,7772.46,388.55,10931.37,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE BUDGET SECTION,6,1196.06,971.37,4678.3,73.46,10700.05,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,BRICK,22,1194.24,279.45,3271.54,124.2,18778.74,0,0.0
MOTOR VEHICLE COMMISSION,HUMAN RESOURCES/FINANCIAL MANAGEMENT/PROCUREMENT,6,1190.96,222.71,1987.66,44.18,3439.56,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 9,24,1155.3,522.0,4946.43,240.0,16142.91,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,COMMODORE 295 BUSINESS PK,1,1137.38,1137.38,1137.38,1137.38,1137.38,0,0.0
CIVIL SERVICE COMMISSION,MERIT SYSTEMS PRACTICES & LABOR RELATIONS (MSP/LR),3,1125.0,812.5,2050.0,500.0,2975.0,0,0.0
OFFICE OF INFORMATION TECHNOLOGY,"CTO'S OFFICE, CAO OFFICE, INTERNAL MONITORING, EEO OFFICE, POLICY & PLANING, FACILITIES, PROJECT MANAGEMENT OFFICE",4,1120.6,401.88,1831.18,317.52,1891.12,0,0.0
ENVIRONMENTAL PROTECTION,OFFICE OF THE COMMISSIONER,50,1089.22,664.56,4832.59,48.75,22625.0,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,INTERCHANGE 13,34,1069.29,735.48,5623.46,130.5,15700.45,0,0.0
MOTOR VEHICLE COMMISSION,COMPLIANCE AND SAFETY,36,1044.4,549.9,1936.27,137.2,12067.2,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,ROWAN CAMPUS,16,1029.76,490.41,3752.18,85.5,19146.47,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE FINANCIAL REPORTING,2,1013.46,595.98,1430.95,178.49,1848.43,0,0.0
HUMAN SERVICES,CENTRAL OFFICE,52,996.82,618.97,2003.12,146.16,14955.8,0,0.0
NEW JERSEY ECONOMIC DEVELOPMENT AUTHORITY,CHIEF OF STAFF/EXTERNAL AFFAIRS,1,980.49,980.49,980.49,980.49,980.49,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,T/S NON-GRANT ADMIN. SERV,3,972.02,546.6,1237.87,121.18,1503.72,0,0.0
MOTOR VEHICLE COMMISSION,FACILITIES AND SUPPORT SERVICES,9,930.24,417.18,1260.35,277.92,3475.43,0,0.0
COMMUNITY AFFAIRS,"COMMUNITY AFFAIRS, NON STATE FUNDED PAYROLL",35,921.14,515.5,1937.79,21.3,21805.93,0,0.0
HEALTH AND SENIOR SERVICES,"DIVISION OF EPIDEMIOLOGY,ENVIRONMENTAL&OCCUPATIONAL HEALTH SERVICES",3,913.74,612.9,1518.12,312.06,2122.5,0,0.0
JUDICIARY,COUNTY COURT -  MIDDLESEX,182,911.46,149.0,2533.4,7.15,17546.25,0,0.0
CIVIL SERVICE COMMISSION,CIVIL SERVICE COMMISSION,63,900.0,400.0,2712.5,125.0,6950.0,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ERP FINANCIAL,3,865.02,733.78,1626.46,602.55,2387.89,0,0.0
LAW AND PUBLIC SAFETY,OFFICE OF THE ATTORNEY GENERAL,11,845.39,202.62,1310.34,128.07,5825.0,0,0.0
MILITARY AND VETERANS AFFAIRS,BG DOYLE CEMETERY,28,834.8,479.24,1138.72,54.75,4853.19,0,0.0
TREASURY,OFFICE OF MANAGEMENT AND BUDGET,11,811.0,221.23,1202.82,35.22,2352.62,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,ROUTE 54/40 SHUTTLE,5,807.38,792.01,4905.76,637.88,8112.85,0,0.0
NEW JERSEY SPORTS & EXPOSITION AUTHORITY,SW LANDFILL OPERATIONS,1,793.56,793.56,793.56,793.56,793.56,0,0.0
CHILDREN AND FAMILIES,OFFICE OF EDUCATION,29,734.75,381.06,1595.58,15.74,4082.34,0,0.0
JUDICIARY,JUDICIARY,94,725.92,372.48,1933.32,7.73,21871.34,0,0.0
JUDICIARY,COUNTY COURT -  HUNTERDON,18,715.74,375.34,1266.88,66.17,1855.18,0,0.0
HUMAN SERVICES,DIVISION OF DEAF AND HARD OF HEARING,1,712.5,712.5,712.5,712.5,712.5,0,0.0
HEALTH AND SENIOR SERVICES,HEALTH FACILITIES EVALUATION AND LICENSING,20,709.58,406.51,1490.6,201.99,3237.83,0,0.0
ENVIRONMENTAL PROTECTION,"ENVIRONMENTAL SAFETY, HEALTH AND ANALYTICAL PROGRAMS",8,687.76,341.92,1191.7,160.35,1401.82,0,0.0
OFFICE OF ADMINISTRATIVE LAW,OFFICE OF ADMINISTRATIVE LAW,10,647.04,374.85,2908.84,176.0,6371.86,0,0.0
MOTOR VEHICLE COMMISSION,BUSINESS AND GOVERNMENT OPERATIONS,37,644.58,376.83,897.0,74.66,5466.55,0,0.0
NEW JERSEY CASINO REINVESTMENT DEVELOPMENT AUTHORITY,SID GENERAL MAINTENANCE,10,591.56,396.77,1007.99,180.18,1612.65,0,0.0
JUDICIARY,COUNTY COURT -  SUSSEX,28,566.0,379.15,810.38,12.49,5797.55,0,0.0
TREASURY,DIVISION OF REVENUE,82,560.64,280.52,1859.92,55.16,16278.7,0,0.0
JUDICIARY,COUNTY COURT -  HUDSON,106,555.26,201.53,1200.53,3.61,25662.38,0,0.0
JUDICIARY,COUNTY COURT -  WARREN,33,546.5,33.43,847.57,10.36,8529.43,0,0.0
JUDICIARY,COUNTY COURT -  ESSEX,85,527.38,228.64,2122.21,13.31,10772.04,0,0.0
LABOR,UNEMPLOYMENT AND DISABILITY - INTERMITTENT & HOURLY,15,506.79,319.47,1847.53,29.64,24575.44,0,0.0
TRANSPORTATION,HUMAN RESOURCES,14,499.42,111.89,3341.02,53.4,9967.69,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,TRANSPORTATION TECHNOLOGY,3,480.78,302.85,515.21,124.92,549.64,0,0.0
NEW JERSEY CASINO REINVESTMENT DEVELOPMENT AUTHORITY,SID WAREHOUSE OPERATION,2,460.33,293.02,627.64,125.7,794.96,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ELECTRONIC TOLLING,3,459.12,331.09,1054.02,203.06,1648.92,0,0.0
JUDICIARY,COUNTY COURT -  UNION,100,451.08,187.8,1685.16,15.21,14698.09,0,0.0
NEW JERSEY SCHOOLS DEVELOPMENT AUTHORITY,Not Provided,3,447.9,231.04,701.5,14.18,955.09,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,EXECUTIVE DEPARTMENT,1,432.69,432.69,432.69,432.69,432.69,0,0.0
TRANSPORTATION,INFORMATION TECHNOLOGY,15,424.5,254.83,611.42,142.08,1024.64,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,FINANCIAL SERVICES,1,421.31,421.31,421.31,421.31,421.31,0,0.0
JUDICIARY,COUNTY COURT -  SOMERSET,77,404.06,105.5,1118.34,3.46,18034.11,0,0.0
JUDICIARY,COUNTY COURT -  MORRIS,58,385.54,167.66,822.62,30.62,2980.75,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE GENERAL ACCOUNTING,3,354.91,226.44,2278.41,97.97,4201.91,0,0.0
MOTOR VEHICLE COMMISSION,"EXECUTIVE, POLICY & PLANNING/LEGAL & REGULATORY AFFAIRS",15,345.45,206.41,403.29,18.67,3537.5,0,0.0
JUDICIARY,COUNTY COURT -  ATLANTIC,51,344.0,123.77,643.28,11.33,3377.0,0,0.0
JUDICIARY,COUNTY COURT -  PASSAIC,61,333.23,147.5,560.5,4.42,2523.15,0,0.0
NEW JERSEY ECONOMIC DEVELOPMENT AUTHORITY,HUMAN RESOURCES OPERATIONS,1,328.82,328.82,328.82,328.82,328.82,0,0.0
JUDICIARY,COUNTY COURT -  BERGEN,86,325.61,120.96,584.66,9.9,9585.24,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,HUMAN RESOURCES,15,325.45,224.39,721.92,29.92,1198.36,0,0.0
HUMAN SERVICES,NEW JERSEY COMMISSION FOR THE BLIND,35,300.68,204.13,968.54,10.73,3498.44,0,0.0
BANKING AND INSURANCE,INSURANCE,11,297.35,106.14,1461.98,53.4,15931.5,0,0.0
LAW AND PUBLIC SAFETY,HIGHWAY TRAFFIC SAFETY,2,289.92,270.61,309.24,251.29,328.56,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,ITS ADMINISTRATIVE,3,289.77,268.34,2998.9,246.91,5708.04,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,PROCUREMENT,2,289.58,287.79,291.38,285.99,293.17,0,0.0
JUDICIARY,COUNTY COURT -  CUMBERLAND,55,289.38,48.52,971.3,2.57,4122.12,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCIAL PLANNING & ANALYSIS,2,288.99,253.72,324.26,218.46,359.52,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,MARKETING - AIRPORT,2,285.38,239.84,330.92,194.29,376.47,0,0.0
JUDICIARY,COUNTY COURT -  GLOUCESTER,67,283.15,46.55,824.1,2.96,6364.09,0,0.0
JUDICIARY,COUNTY COURT -  MERCER,53,266.31,83.64,757.87,14.56,12562.19,0,0.0
TRANSPORTATION,OFFICE OF THE ASSISTANT COMMISSIONER,5,263.2,222.6,10245.74,53.17,19172.39,0,0.0
JUDICIARY,COUNTY COURT -  BURLINGTON,74,262.24,80.97,586.69,15.91,4103.33,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,FINANCE ACCOUNTS PAYABLE,4,260.02,236.89,939.81,178.61,2968.1,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,ACCOUNTING PAYROLL,4,249.97,206.12,661.83,102.41,1869.58,0,0.0
JUDICIARY,COUNTY COURT -  CAMDEN,87,249.9,53.55,707.04,5.02,7841.23,0,0.0
JUDICIARY,COUNTY COURT -  SALEM,16,232.38,127.51,614.8,25.55,5715.03,0,0.0
JUDICIARY,COUNTY COURT -  MONMOUTH,123,231.66,92.75,702.03,5.52,5368.27,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,REVENUE AND EXPENDITURE SERV,3,226.13,146.25,1239.74,66.37,2253.35,0,0.0
NEW JERSEY CASINO REINVESTMENT DEVELOPMENT AUTHORITY,SID FULL TIME,23,212.5,114.1,626.92,0.87,1316.79,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,INFORMATION SERVICES,7,203.74,55.48,344.95,31.33,928.84,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,BUSINESS ANALYTICS SERVICES,2,177.8,157.12,198.49,136.44,219.17,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,MEALS ON WHEELS,14,174.75,101.25,196.88,15.0,862.5,0,0.0
NEW JERSEY CASINO REINVESTMENT DEVELOPMENT AUTHORITY,EXECUTIVE/ADMINISTRATION,3,166.22,128.64,246.91,91.07,327.6,0,0.0
TREASURY,ADMINISTRATION - PRINT SHOP,5,160.65,122.7,319.31,104.85,1343.4,0,0.0
JUDICIARY,COUNTY COURT -  OCEAN,122,145.68,60.15,395.52,1.13,4389.69,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,EXECUTIVE,1,142.48,142.48,142.48,142.48,142.48,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,SOFTWARE DEV OPS SERVICES,2,137.6,133.87,141.32,130.14,145.05,0,0.0
NEW JERSEY TURNPIKE AUTHORITY,PRINT SHOP,3,129.7,117.48,6183.62,105.27,12237.54,0,0.0
JUDICIARY,COUNTY COURT -  CAPE MAY,16,118.0,63.52,411.19,13.68,970.88,0,0.0
ENVIRONMENTAL PROTECTION,"SCIENCE , ENERGY AND AIR QUALITY",4,113.56,84.7,2490.85,35.09,9585.77,0,0.0
NEW JERSEY CASINO REINVESTMENT DEVELOPMENT AUTHORITY,HUMAN RESOURCES,1,111.96,111.96,111.96,111.96,111.96,0,0.0
OFFICE OF INFORMATION TECHNOLOGY,CREATIVE SERVICES,1,55.06,55.06,55.06,55.06,55.06,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,ACY PARKING,10,50.58,40.77,70.53,14.64,115.33,0,0.0
NEW JERSEY CASINO REINVESTMENT DEVELOPMENT AUTHORITY,PROJECT IMPLEMENTATION MA,1,41.46,41.46,41.46,41.46,41.46,0,0.0
NEW JERSEY CASINO REINVESTMENT DEVELOPMENT AUTHORITY,FINANCE,2,40.38,28.09,52.67,15.8,64.96,0,0.0
NEW JERSEY CASINO REINVESTMENT DEVELOPMENT AUTHORITY,SID SEASONAL,6,17.08,12.88,21.1,12.24,23.46,0,0.0
SOUTH JERSEY TRANSPORTATION AUTHORITY,ACY CUSTOMER SERVICE,1,14.64,14.64,14.64,14.64,14.64,0,0.0
